Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Index,Home_xG,Away_xG,Home_xpts,Away_xpts,Notes,Understat_Date_Found,Understat_Teams_Found
20.10.2018,Newcastle,Brighton,0,1,A,1606,,,,,,,
21.02.2015,Aston Villa,Stoke,1,2,A,251,,,,,,,
21.02.2015,Hull,QPR,2,1,H,254,,,,,,,
21.03.2015,Newcastle,Arsenal,1,2,A,292,,,,,,,
21.10.2017,Swansea,Leicester,1,2,A,1228,,,,,,,
21.12.2019,Brighton,Sheffield United,0,1,A,2074,,,,,,,
22.04.2017,Hull,Watford,2,0,H,1085,,,,,,,
22.08.2015,Norwich,Stoke,1,1,D,404,,,,,,,
22.08.2015,Sunderland,Swansea,1,1,D,405,,,,,,,
22.10.2016,Arsenal,Middlesbrough,0,0,D,841,,,,,,,
22.11.2014,Man City,Swansea,2,1,H,115,,,,,,,
23.02.2020,Man United,Watford,3,0,H,2167,,,,,,,
23.11.2019,Bournemouth,Wolves,1,2,A,2023,,,,,,,
23.11.2019,Everton,Norwich,0,2,A,2026,,,,,,,
23.12.2017,Southampton,Huddersfield,1,1,D,1327,,,,,,,
24.02.2018,Brighton,Swansea,4,1,H,1412,,,,,,,
24.05.2015,Aston Villa,Burnley,0,1,A,372,,,,,,,
24.05.2015,Newcastle,West Ham,2,0,H,379,,,,,,,
24.08.2019,Man United,Crystal Palace,1,2,A,1924,,,,,,,
25.04.2015,West Brom,Liverpool,0,0,D,335,,,,,,,
26.04.2017,Middlesbrough,Sunderland,1,0,H,1093,,,,,,,
26.07.2020,Crystal Palace,Tottenham,1,1,D,2274,,,,,,,
26.07.2020,Newcastle,Liverpool,1,3,A,2278,,,,,,,
26.08.2017,Watford,Brighton,0,0,D,1166,,,,,,,
26.12.2014,Burnley,Liverpool,0,1,A,172,,,,,,,
26.12.2014,Sunderland,Hull,1,3,A,178,,,,,,,
26.12.2014,West Brom,Man City,1,3,A,180,,,,,,,
26.12.2015,Swansea,West Brom,1,0,H,559,,,,,,,
26.12.2016,Burnley,Middlesbrough,1,0,H,932,,,,,,,
26.12.2019,Everton,Burnley,1,0,H,2085,,,,,,,
26.12.2019,Sheffield United,Watford,1,1,D,2086,,,,,,,
27.08.2016,Southampton,Sunderland,1,1,D,786,,,,,,,
27.09.2014,Southampton,QPR,2,1,H,57,,,,,,,
28.02.2015,Stoke,Hull,1,0,H,264,,,,,,,
28.02.2015,West Brom,Southampton,1,0,H,265,,,,,,,
28.09.2019,Aston Villa,Burnley,2,2,D,1962,,,,,,,
28.09.2019,Chelsea,Brighton,2,0,H,1964,,,,,,,
28.09.2019,Wolves,Watford,2,0,H,1967,,,,,,,
28.12.2014,QPR,Crystal Palace,0,0,D,185,,,,,,,
29.04.2017,Southampton,Hull,0,0,D,1096,,,,,,,
29.04.2017,West Brom,Leicester,0,1,A,1099,,,,,,,
29.09.2018,Arsenal,Watford,2,0,H,1581,,,,,,,
29.09.2018,Huddersfield,Tottenham,0,2,A,1584,,,,,,,
29.09.2018,Man City,Brighton,2,0,H,1585,,,,,,,
29.11.2014,Swansea,Crystal Palace,1,1,D,126,,,,,,,
29.11.2014,West Ham,Newcastle,1,0,H,128,,,,,,,
29.12.2018,Fulham,Huddersfield,1,0,H,1712,,,,,,,
30.03.2019,Burnley,Wolves,2,0,H,1826,,,,,,,
30.03.2019,Crystal Palace,Huddersfield,2,0,H,1827,,,,,,,
30.12.2017,Liverpool,Leicester,2,1,H,1344,,,,,,,
30.12.2017,Newcastle,Brighton,0,0,D,1346,,,,,,,
31.01.2015,Stoke,QPR,3,1,H,226,,,,,,,
31.01.2015,Sunderland,Burnley,2,0,H,227,,,,,,,
31.01.2018,Southampton,Brighton,1,1,D,1388,,,,,,,
31.10.2015,Crystal Palace,Man United,0,0,D,482,,,,,,,
