date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
15.12.2015 0:00;Leicester;Chelsea;2;1;0.708846;2.26887;0.3092;2.5394;2015;2015-12-15_Leicester_vs_Chelsea
02.02.2016 23:45;Leicester;Aston Villa;2;0;1.34566;0.107888;2.071;0.062;2015;2016-02-02_Leicester_vs_Aston Villa
05.12.2015 19:00;West Brom;Aston Villa;1;1;1.48695;1.058;1.6685;0.3557;2015;2015-12-05_West Brom_vs_Aston Villa
02.01.2016 19:00;West Brom;Swansea;2;1;1.72318;0.542907;2.0388;0.5028;2015;2016-01-02_West Brom_vs_Swansea
03.02.2016 0:00;West Brom;Swansea;1;1;2.30645;1.17928;2.1996;0.6018;2015;2016-02-03_West Brom_vs_Swansea
19.03.2016 19:00;West Brom;Leicester;0;1;0.332789;1.20315;0.7802;1.6994999999999998;2015;2016-03-19_West Brom_vs_Leicester
15.05.2016 18:00;West Brom;Leicester;1;1;1.86869;1.23491;2.5798;0.8909;2015;2016-05-15_West Brom_vs_Leicester
22.08.2015 18:00;Sunderland;Tottenham;1;1;0.569426;1.89437;0.6088;2.1979;2015;2015-08-22_Sunderland_vs_Tottenham
01.03.2016 23:45;Sunderland;West Brom;2;2;0.93375;1.29485;1.3827;0.3445;2015;2016-03-01_Sunderland_vs_West Brom
31.10.2015 19:00;Crystal Palace;Stoke;0;0;0.939118;1.38017;1.8727;1.4869;2015;2015-10-31_Crystal Palace_vs_Stoke
24.11.2015 0:00;Crystal Palace;Sunderland;0;1;0.696183;1.30739;0.7918000000000001;1.9252;2015;2015-11-24_Crystal Palace_vs_Sunderland
03.02.2016 0:00;Crystal Palace;Bournemouth;1;2;1.62395;1.17427;1.7302;0.9916;2015;2016-02-03_Crystal Palace_vs_Bournemouth
22.08.2015 18:00;Norwich;Tottenham;1;1;3.14888;1.89437;2.7779;2.1979;2015;2015-08-22_Norwich_vs_Tottenham
05.03.2016 19:00;Chelsea;Sunderland;1;1;1.0615;1.31562;0.9481;1.1981;2015;2016-03-05_Chelsea_vs_Sunderland
03.11.2015 0:00;Tottenham;Aston Villa;3;1;1.14374;0.325711;2.0859;0.6095999999999999;2015;2015-11-03_Tottenham_vs_Aston Villa
14.01.2016 0:00;Tottenham;Leicester;0;1;1.2301;0.588708;1.8848;0.8108;2015;2016-01-14_Tottenham_vs_Leicester
06.02.2016 19:00;Tottenham;West Brom;1;0;2.00475;0.472556;2.6976;0.2203999999999999;2015;2016-02-06_Tottenham_vs_West Brom
22.12.2015 0:00;Arsenal;Man City;2;1;1.50109;0.769378;2.0007;0.7383;2015;2015-12-22_Arsenal_vs_Man City
02.01.2016 19:00;Arsenal;Southampton;1;0;1.93025;0.932294;1.9698;0.8583000000000001;2015;2016-01-02_Arsenal_vs_Southampton
26.12.2015 19:00;Swansea;Leicester;1;0;1.21243;0.505167;2.1517;0.6398999999999999;2015;2015-12-26_Swansea_vs_Leicester
19.01.2016 0:00;Swansea;Watford;1;0;0.474035;0.525478;1.2118;1.3249;2015;2016-01-19_Swansea_vs_Watford
09.04.2016 18:00;Swansea;Norwich;1;0;1.9071;0.675663;1.8406;0.6932;2015;2016-04-09_Swansea_vs_Norwich
15.05.2016 18:00;Swansea;Leicester;1;1;0.115604;1.23491;0.088;0.8909;2015;2016-05-15_Swansea_vs_Leicester
19.12.2015 19:00;Stoke;Bournemouth;1;2;2.41499;1.89177;1.6751;2.3606;2015;2015-12-19_Stoke_vs_Bournemouth
